nazev,delka,sirka,datumdo,vyska,biotop,kodbiotopu,samec,samice,juv,ex
Ploceus intermedius,13.61,48.87,19.11.2006,936,skály nižších a středních výšek,308,25,39,32,37
Gymnorhina tibicen,16.21,49.05,14.10.1965,1162,Skalní stepi na vápensových podkladech,215,7,9,23,45
unavailable,13.47,48.71,14.6.1992,620,mocaly,207,3,40,28,7
Felis wiedi or Leopardus weidi,15.35,50.77,20.9.2014,1021,lidska obydli,200,13,28,46,15
Damaliscus lunatus,14.23,50.63,30.11.1977,1151,mocaly,207,19,36,44,5
Epicrates cenchria maurus,15.67,49.69,30.12.2012,724,biotop a,326,45,13,37,15
Mungos mungo,12.09,50.49,7.9.1981,1152,slatiny,217,8,33,2,24
Chordeiles minor,13.01,48.95,9.8.1974,889,biotop b,7,45,22,44,33
Philetairus socius,17.35,48.91,13.9.1953,680,nahodny biotop,24,45,50,1,38
Tenrec ecaudatus,16.43,49.65,23.3.1979,1173,nahodny biotop,24,0,25,49,11
Chelodina longicollis,16.89,50.03,15.9.1914,684,mocaly,207,0,4,12,44
Terrapene carolina,18.97,49.93,6.9.1975,603,mocaly,207,43,18,43,43
Sagittarius serpentarius,18.19,49.43,21.8.1915,1060,Skalní stepi na vápensových podkladech,215,21,13,0,36
Genetta genetta,14.85,49.01,19.4.1983,645,xerotermni tentononc,310,21,2,18,30
Ephippiorhynchus mycteria,14.25,50.59,10.11.2007,549,suťové lesy,327,8,24,2,23
Tamiasciurus hudsonicus,16.23,50.35,3.5.1930,584,louka,202,10,42,22,3
Cercatetus concinnus,16.41,51.01,11.4.1912,736,doubravy,206,0,15,13,12
Sarcorhamphus papa,14.33,49.95,9.3.1928,987,doubravy,206,41,13,4,34
Tiliqua scincoides,15.15,49.33,9.11.2008,832,xerotermni tentononc,310,10,26,16,17
Paraxerus cepapi,12.13,50.35,10.11.2011,972,lidska obydli,200,41,33,17,32
Varanus sp.,18.19,51.19,11.9.1925,1127,xerotermni tentononc,310,15,0,34,32
Stenella coeruleoalba,18.49,49.41,25.2.1952,951,louka,202,27,48,45,36
Centrocercus urophasianus,15.45,50.11,15.11.1988,651,xerotermni tentononc,310,42,24,36,25
Grus antigone,13.37,51.07,23.3.1928,965,slatiny,217,16,27,25,8
Phalaropus lobatus,13.89,49.85,11.12.2013,877,nahodny biotop,24,24,19,7,42
Gyps bengalensis,17.47,50.03,28.9.2008,814,lidska obydli,200,50,27,47,34
Oncorhynchus nerka,12.67,50.07,30.10.2009,1054,slatiny,217,23,21,0,44
Diceros bicornis,12.85,49.91,13.11.1975,766,les,301,4,21,31,43
Vicugna vicugna,15.73,50.27,1.10.1911,1091,slatiny,217,18,3,27,3
Bugeranus caruncalatus,12.53,48.77,24.12.1998,962,les,301,41,23,0,41
Corallus hortulanus cooki,12.37,48.79,26.1.1905,523,biotop a,326,11,38,43,5
Coluber constrictor,14.19,50.49,30.5.1999,1149,suťové lesy,327,34,42,30,20
Dasyurus maculatus,18.03,50.07,28.11.1937,1070,bazina,369,48,39,50,39
Didelphis virginiana,18.81,48.63,11.2.1967,1077,lidska obydli,200,2,33,46,3
Gyps bengalensis,15.87,48.91,27.1.1953,926,bazina,369,7,6,28,17
Speothos vanaticus,17.87,50.75,22.1.1932,524,biotop b,7,24,13,21,46
unavailable,16.15,48.45,2.1.2016,819,louka,202,11,5,42,18
Paraxerus cepapi,14.19,50.49,26.3.2008,721,biotop a,326,38,10,1,49
Speotyte cuniculata,15.09,49.71,13.11.1961,838,Skalní stepi na vápensových podkladech,215,49,41,40,23
Coendou prehensilis,12.87,48.83,25.9.1918,697,skály nižších a středních výšek,308,7,31,18,3
Equus hemionus,14.13,50.41,18.4.1959,615,biotop b,7,44,12,11,50
Gymnorhina tibicen,16.95,50.67,7.4.1973,1181,lidska obydli,200,20,30,23,23
Colaptes campestroides,16.33,48.67,10.8.2003,1165,biotop b,7,2,20,8,41
Potos flavus,14.43,50.63,7.11.1917,1067,doubravy,206,12,34,24,35
Phasianus colchicus,15.57,50.47,29.8.1951,554,bazina,369,20,11,21,23
Ara macao,16.03,50.09,6.7.1976,1125,bazina,369,0,37,21,9
Spilogale gracilis,12.57,49.21,6.2.1997,834,biotop b,7,50,5,29,36
Pseudoleistes virescens,12.55,51.01,25.7.1928,893,bazina,369,7,5,34,46
Lasiodora parahybana,17.73,49.09,8.5.1967,534,nahodny biotop,24,17,20,34,37
Herpestes javanicus,15.41,49.27,6.10.1983,541,lidska obydli,200,26,6,20,4
Naja haje,15.93,50.19,4.11.1905,1061,les,301,0,29,13,8
Tachyglossus aculeatus,12.63,49.61,19.1.1905,746,doubravy,206,27,42,48,34
Pseudocheirus peregrinus,13.17,49.61,19.10.1905,1016,biotop a,326,1,10,37,22
Mazama americana,12.35,49.63,14.11.1931,921,Skalní stepi na vápensových podkladech,215,7,17,1,27
Panthera pardus,14.23,49.11,19.4.1983,1171,skály nižších a středních výšek,308,13,7,37,44
Dicrurus adsimilis,17.91,51.01,28.12.1975,1032,suťové lesy,327,10,12,43,7
Vanellus armatus,13.87,50.81,7.9.2017,1167,mocaly,207,26,14,1,18
Bradypus tridactylus,15.95,50.47,1.3.1999,1033,biotop a,326,19,19,31,40
Nycticorax nycticorax,16.73,49.53,25.3.1977,900,doubravy,206,21,32,1,36
Epicrates cenchria maurus,18.53,48.97,21.4.1995,1005,biotop b,7,33,31,50,48
Pseudoleistes virescens,15.67,49.31,13.1.1994,1052,biotop a,326,43,47,3,9
Ploceus rubiginosus,12.49,50.41,27.10.1970,960,louka,202,23,11,11,1
Ceratotherium simum,16.65,49.85,8.9.1924,561,mocaly,207,12,22,10,48
Falco peregrinus,13.33,48.87,26.2.2005,844,nahodny biotop,24,48,5,17,21
Libellula quadrimaculata,13.99,51.13,14.5.1936,613,skály nižších a středních výšek,308,2,13,38,47
Delphinus delphis,17.03,51.11,18.4.2001,795,biotop b,7,17,42,6,40
Casmerodius albus,17.67,50.01,11.7.1999,1110,biotop a,326,13,43,21,30
Bradypus tridactylus,14.13,49.01,31.5.1940,858,louka,202,25,47,0,7
Podargus strigoides,15.65,48.71,11.3.2006,956,Skalní stepi na vápensových podkladech,215,50,9,7,31
Semnopithecus entellus,18.57,51.05,16.6.1928,993,biotop a,326,44,19,28,23
Macaca nemestrina,18.65,48.79,9.6.1962,1142,slatiny,217,17,20,46,39
Vanessa indica,16.09,51.11,26.9.1986,763,biotop a,326,45,48,49,48
Gabianus pacificus,17.97,48.71,13.3.1998,905,bazina,369,36,3,17,23
Macaca radiata,17.41,49.09,16.1.1905,1005,mocaly,207,21,32,3,5
Paroaria gularis,13.41,48.53,13.3.1962,906,biotop b,7,2,27,37,13
Bubalus arnee,12.57,48.71,29.1.1959,515,biotop a,326,21,22,19,14
Pycnonotus nigricans,13.85,48.65,29.1.2003,1167,les,301,21,26,40,26
Cynictis penicillata,14.13,48.71,19.9.2012,1027,les,301,13,9,23,40
Colaptes campestroides,14.95,48.97,15.1.1961,715,nahodny biotop,24,28,9,30,28
Neotoma sp.,15.97,50.99,28.9.1980,1177,biotop b,7,12,4,29,36
Libellula quadrimaculata,15.61,48.85,1.8.1990,1192,lidska obydli,200,49,2,19,6
Streptopelia senegalensis,16.41,48.53,20.11.1969,1189,xerotermni tentononc,310,49,25,1,8
unavailable,16.69,49.45,26.2.1938,624,louka,202,36,23,16,19
Ramphastos tucanus,18.37,50.15,19.5.2004,1066,mocaly,207,15,40,50,44
Plocepasser mahali,12.47,49.65,28.11.2005,501,xerotermni tentononc,310,35,5,28,35
unavailable,16.91,49.97,11.7.1999,860,biotop b,7,16,6,23,3
Phoca vitulina,13.07,50.95,9.11.2018,934,Skalní stepi na vápensových podkladech,215,14,17,34,26
Sceloporus magister,15.87,50.21,16.8.1965,601,skály nižších a středních výšek,308,29,34,44,16
Eudromia elegans,15.07,49.19,17.6.1974,766,xerotermni tentononc,310,30,10,14,34
Ninox superciliaris,12.27,51.19,16.9.1967,534,slatiny,217,28,45,6,30
Myiarchus tuberculifer,14.47,49.83,17.5.1916,1194,lidska obydli,200,7,44,47,28
Mirounga leonina,13.99,50.65,5.4.2002,1027,doubravy,206,49,27,9,31
Dasypus septemcincus,16.63,49.41,15.5.1966,1103,skály nižších a středních výšek,308,37,13,7,10
Sula dactylatra,18.47,48.71,5.1.1922,1000,biotop a,326,20,31,21,17
Mabuya spilogaster,12.2929,48.8,10.4.1968,786,mocaly,207,15,34,1,29
Pavo cristatus,15.63,48.43,19.5.1949,575,biotop a,326,34,36,4,22
Cacatua galerita,12.51,49.17,25.2.1975,1141,bazina,369,13,49,34,46
Bettongia penicillata,12.77,48.91,30.1.1902,893,suťové lesy,327,22,31,15,48
Ciconia episcopus,15.65,49.85,8.1.1929,1044,doubravy,206,38,31,41,50
Naja nivea,14.87,50.15,4.6.1902,942,biotop b,7,43,27,47,22
Macropus agilis,18.33,48.67,25.4.1947,959,slatiny,217,50,27,2,16
Spilogale gracilis,13.37,48.63,30.10.1970,520,skály nižších a středních výšek,308,12,50,40,29
Crotalus cerastes,16.75,50.05,28.3.1969,809,Skalní stepi na vápensových podkladech,215,13,50,25,30
Sciurus vulgaris,14.17,50.17,16.10.1979,1026,biotop a,326,34,42,23,49
Phoenicopterus ruber,16.65,48.67,18.3.1901,868,les,301,34,33,33,30
Chloephaga melanoptera,12.23,50.21,26.1.2021,732,doubravy,206,46,31,44,36
Oreamnos americanus,13.45,50.55,16.5.2010,763,les,301,2,24,35,18
Cervus duvauceli,14.53,51.05,25.3.1945,690,louka,202,12,47,35,9
Haliaeetus leucoryphus,12.73,48.51,21.5.1903,1168,doubravy,206,4,1,17,46
Tachyglossus aculeatus,17.79,49.09,9.4.1973,504,nahodny biotop,24,28,35,5,1
Gymnorhina tibicen,15.71,49.75,25.7.1962,825,xerotermni tentononc,310,48,16,12,9
Phascogale calura,16.13,48.41,14.2.1909,700,les,301,3,16,34,1
Cordylus giganteus,13.61,50.01,2.2.1944,790,skály nižších a středních výšek,308,0,14,48,29
Hystrix cristata,14.09,50.41,16.10.1903,710,lidska obydli,200,24,40,14,36
Dicrurus adsimilis,15.37,49.01,13.1.1964,987,doubravy,206,44,9,39,10
Paraxerus cepapi,18.81,51.13,20.12.1914,644,mocaly,207,6,46,39,50
Dasypus novemcinctus,18.47,49.41,23.3.2013,539,Skalní stepi na vápensových podkladech,215,17,22,10,12
Kobus defassa,14.31,49.31,27.11.1942,520,biotop b,7,32,10,42,21
Colaptes campestroides,15.51,50.83,12.5.1934,1121,biotop b,7,44,3,42,5
Limosa haemastica,12.37,50.33,10.6.1908,652,skály nižších a středních výšek,308,13,31,8,21
Pytilia melba,13.31,50.87,31.3.1945,1021,biotop a,326,16,50,3,42
Amazona sp.,14.05,48.55,12.8.1906,783,louka,202,50,11,39,43
Stercorarius longicausus,18.91,48.97,1.12.1939,508,skály nižších a středních výšek,308,40,18,24,33
Cygnus buccinator,13.05,49.51,3.8.1964,869,lidska obydli,200,38,38,31,30
Anthropoides paradisea,17.69,49.01,20.5.1945,546,les,301,46,40,33,6
Ictonyx striatus,18.05,48.95,7.8.1934,719,lidska obydli,200,24,47,22,16
Ninox superciliaris,14.23,50.45,23.7.1923,835,doubravy,206,5,46,5,26
Capreolus capreolus,12.51,49.69,21.11.2001,923,biotop b,7,5,46,44,2
Butorides striatus,12.57,48.51,4.2.1920,546,mocaly,207,14,45,5,19
Alcelaphus buselaphus caama,14.85,50.09,31.7.1907,966,mocaly,207,18,39,24,4
Merops bullockoides,18.31,50.01,29.3.1971,893,Skalní stepi na vápensových podkladech,215,8,4,8,5
Halcyon smyrnesis,12.07,50.57,22.10.1910,728,slatiny,217,25,41,2,14
Sylvicapra grimma,13.23,50.27,9.12.1928,1082,biotop b,7,37,43,12,42
Redunca redunca,16.85,48.89,25.3.1917,631,louka,202,32,42,18,44
Ardea cinerea,15.55,50.69,1.7.1987,679,lidska obydli,200,27,46,9,3
Pseudalopex gymnocercus,18.45,50.87,17.5.1990,560,slatiny,217,41,11,47,10
Ara ararauna,12.83,49.81,10.5.1952,773,mocaly,207,5,17,9,29
Megaderma spasma,13.95,49.45,30.10.1935,1187,skály nižších a středních výšek,308,30,28,40,20
Ninox superciliaris,16.61,50.73,27.11.1921,616,lidska obydli,200,23,27,41,8
Anas bahamensis,17.31,49.39,19.4.1918,691,biotop a,326,0,40,22,11
Felis silvestris lybica,15.49,49.59,31.3.1948,897,louka,202,22,43,20,21
Chionis alba,14.37,50.91,11.5.1911,1010,doubravy,206,8,26,0,37
Heloderma horridum,18.75,49.57,14.12.1919,918,biotop b,7,3,3,22,24
Ardea cinerea,12.99,50.63,12.4.1907,1181,slatiny,217,40,5,23,23
Canis aureus,16.19,48.53,15.5.1919,988,doubravy,206,44,0,49,26
Scolopax minor,16.45,49.87,5.4.1965,1084,mocaly,207,28,4,7,20
Lutra canadensis,12.73,50.57,19.5.1934,864,nahodny biotop,24,24,8,23,36
Dendrocitta vagabunda,18.25,50.97,15.3.1909,1129,les,301,28,16,3,37
Tyto novaehollandiae,15.09,49.89,22.6.1920,1077,biotop b,7,48,39,45,48
Mirounga leonina,16.15,49.15,5.5.1954,725,bazina,369,21,32,25,18
Lycaon pictus,13.89,49.75,13.12.2003,1076,skály nižších a středních výšek,308,41,47,46,22
Semnopithecus entellus,12.25,50.03,22.6.1946,650,biotop a,326,11,15,31,1
Morelia spilotes variegata,13.65,49.65,18.3.2019,1017,louka,202,34,39,23,29
Connochaetus taurinus,17.31,48.71,24.6.1975,625,louka,202,31,9,5,44
Trichosurus vulpecula,12.17,49.31,22.5.1936,718,xerotermni tentononc,310,17,50,32,0
Sciurus vulgaris,15.85,50.23,22.4.2008,913,biotop a,326,22,8,22,23
Macaca mulatta,17.83,48.63,25.4.1913,609,skály nižších a středních výšek,308,34,19,46,20
Myiarchus tuberculifer,18.51,49.05,20.9.1902,808,mocaly,207,19,0,11,34
Vombatus ursinus,13.69,48.75,3.6.2005,548,biotop b,7,46,21,29,34
Amazona sp.,13.69,50.89,25.11.1922,1139,xerotermni tentononc,310,27,39,40,28
Cereopsis novaehollandiae,17.41,49.83,27.10.2001,1011,bazina,369,21,39,44,17
Vombatus ursinus,14.59,50.61,22.12.1911,513,bazina,369,41,27,41,21
Choloepus hoffmani,13.81,50.63,31.7.1964,911,Skalní stepi na vápensových podkladech,215,28,45,29,31
Stercorarius longicausus,16.19,51.09,27.8.1991,693,doubravy,206,44,39,23,21
Milvus migrans,13.97,51.11,12.2.1920,664,louka,202,15,29,11,10
Varanus sp.,18.89,48.41,23.4.1978,598,Skalní stepi na vápensových podkladech,215,5,22,21,0
Cygnus atratus,12.51,49.79,2.12.2005,727,doubravy,206,46,12,33,25
Psophia viridis,12.97,48.97,6.4.1906,1164,skály nižších a středních výšek,308,23,24,30,10
Corvus albicollis,12.79,49.61,10.12.1908,970,mocaly,207,41,1,0,29
Stercorarius longicausus,15.57,48.59,25.8.1983,624,slatiny,217,7,29,8,47
Semnopithecus entellus,14.99,49.13,19.11.2017,959,biotop a,326,39,49,30,17
Anastomus oscitans,13.25,49.27,5.11.1941,953,suťové lesy,327,29,24,40,31
Turtur chalcospilos,15.05,49.57,10.2.2013,989,mocaly,207,39,32,43,25
Ephipplorhynchus senegalensis,15.09,49.11,21.7.1962,533,nahodny biotop,24,25,6,48,0
Macropus rufogriseus,18.85,50.41,9.2.1976,958,doubravy,206,22,22,46,34
Cyrtodactylus louisiadensis,18.85,49.07,19.12.2019,682,slatiny,217,31,19,6,42
Pseudalopex gymnocercus,16.71,51.11,8.7.1971,1175,bazina,369,24,47,18,8
Cynictis penicillata,12.61,51.07,6.4.1943,880,slatiny,217,16,37,23,20
Vanellus chilensis,12.19,49.53,27.8.1933,1008,nahodny biotop,24,8,17,49,10
Sula nebouxii,12.53,49.11,4.3.1986,1063,nahodny biotop,24,38,20,16,10
Laniarius ferrugineus,17.69,49.81,20.9.1953,1102,bazina,369,45,48,27,23
Cebus apella,13.69,50.47,26.3.1928,775,les,301,42,31,13,13
Chionis alba,17.75,48.71,13.7.1908,915,slatiny,217,7,6,49,48
Anastomus oscitans,15.03,49.77,14.4.2020,514,Skalní stepi na vápensových podkladech,215,17,41,34,33
Grus rubicundus,16.97,50.31,28.2.2010,1013,nahodny biotop,24,44,49,18,39
Didelphis virginiana,12.59,51.03,27.7.1912,616,nahodny biotop,24,36,2,48,22
Morelia spilotes variegata,18.45,49.39,10.4.1906,982,nahodny biotop,24,21,26,24,49
Nasua narica,12.39,49.33,6.4.1949,1111,biotop b,7,35,33,36,23
Phascogale tapoatafa,14.21,48.49,11.12.1993,1025,slatiny,217,22,42,30,12
Ciconia ciconia,13.03,50.37,4.1.1991,1062,louka,202,39,44,33,17
Leprocaulinus vipera,18.01,48.41,19.5.1975,1149,nahodny biotop,24,15,28,2,13
Bubulcus ibis,17.85,48.55,28.2.1900,945,doubravy,206,16,8,11,8
Nyctereutes procyonoides,18.43,48.75,18.8.2012,669,slatiny,217,26,3,18,40
Melophus lathami,14.61,49.93,10.5.1986,638,louka,202,43,8,30,1
Choloepus hoffmani,17.25,50.79,11.4.1968,1193,lidska obydli,200,18,18,17,7
Spheniscus magellanicus,15.55,49.59,25.12.1955,904,slatiny,217,1,19,29,37
Panthera pardus,13.99,48.91,27.7.1987,559,nahodny biotop,24,40,9,10,44
Ictalurus furcatus,15.55,49.41,29.3.1981,879,skály nižších a středních výšek,308,37,25,40,8
Tenrec ecaudatus,13.13,48.85,17.1.1968,614,nahodny biotop,24,9,5,44,16
Dipodomys deserti,13.47,48.59,22.10.1964,528,les,301,41,9,31,12
Colobus guerza,13.65,49.77,4.9.1913,602,doubravy,206,40,39,43,19
Rhabdomys pumilio,15.57,51.05,19.3.1949,535,slatiny,217,33,11,19,3
Crotalus cerastes,18.75,50.35,10.8.1910,531,lidska obydli,200,26,0,26,9
Bos mutus,16.47,50.35,28.8.1904,555,nahodny biotop,24,14,23,19,39
Phascogale calura,18.19,48.53,12.10.1989,563,louka,202,32,9,34,6
Bos taurus,18.75,50.49,19.3.1942,1177,xerotermni tentononc,310,12,32,26,19
Chordeiles minor,15.29,51.01,13.9.2006,1182,nahodny biotop,24,30,49,25,9
Grus rubicundus,15.71,49.59,28.12.1905,907,biotop b,7,34,8,43,3
Macropus agilis,17.77,49.99,6.6.1981,740,louka,202,35,25,20,40
Phoca vitulina,18.95,49.29,23.12.2021,923,xerotermni tentononc,310,2,47,41,16
Hippotragus niger,18.03,49.81,22.3.1907,550,bazina,369,34,36,9,31
Damaliscus dorcas,16.69,48.51,26.1.1912,953,lidska obydli,200,22,40,10,35
Ciconia ciconia,16.73,49.51,7.3.1978,785,nahodny biotop,24,39,18,34,2
Lophoaetus occipitalis,12.35,50.09,3.12.1905,880,biotop b,7,42,6,39,45
Haematopus ater,16.39,50.77,24.12.1909,1064,doubravy,206,34,39,46,46
Cebus albifrons,13.03,50.35,11.10.1998,1196,louka,202,32,12,12,11
Tamiasciurus hudsonicus,12.21,50.57,6.3.1914,1200,biotop b,7,20,31,42,42
Crocodylus niloticus,18.77,50.01,27.7.2017,834,les,301,13,49,31,19
Colobus guerza,14.13,48.47,8.11.1920,736,lidska obydli,200,22,23,9,8
Bubalus arnee,14.25,48.81,1.4.1972,812,mocaly,207,7,50,0,23
unavailable,12.19,49.89,4.11.1902,896,nahodny biotop,24,15,36,6,37
Fulica cristata,15.71,49.73,5.2.2002,531,mocaly,207,33,38,23,8
Galago crassicaudataus,16.15,49.87,16.1.1923,1146,suťové lesy,327,10,30,1,29
Cervus duvauceli,13.33,50.31,23.1.2014,944,Skalní stepi na vápensových podkladech,215,22,32,28,14
Cervus canadensis,14.47,50.75,31.7.1941,725,Skalní stepi na vápensových podkladech,215,9,12,49,9
Ovis canadensis,17.07,49.49,6.3.1901,660,nahodny biotop,24,28,40,17,41
Lutra canadensis,13.71,49.17,9.6.1957,543,les,301,29,12,16,44
Eumetopias jubatus,18.73,50.27,8.7.1967,733,xerotermni tentononc,310,0,43,16,44
Corallus hortulanus cooki,16.05,50.15,30.12.1956,676,xerotermni tentononc,310,10,35,19,25
Propithecus verreauxi,16.79,48.99,27.3.1943,905,skály nižších a středních výšek,308,10,5,48,43
Panthera pardus,17.59,51.03,9.5.1982,1182,bazina,369,45,29,21,25
Carduelis uropygialis,15.11,48.97,18.9.2020,551,biotop b,7,27,9,6,1
Nesomimus trifasciatus,13.27,51.03,16.3.1986,526,les,301,20,35,42,21
Eudromia elegans,17.85,49.41,5.12.2013,921,xerotermni tentononc,310,30,0,47,50
Lamprotornis chalybaeus,14.49,49.69,30.5.1996,809,xerotermni tentononc,310,3,1,32,43
Speothos vanaticus,14.07,50.73,23.3.1989,925,slatiny,217,30,39,29,22
Phalacrocorax carbo,14.57,50.47,11.2.1985,1188,suťové lesy,327,12,43,49,45
Gorilla gorilla,17.33,49.47,6.3.1912,1182,louka,202,2,41,1,15
Anser caerulescens,12.07,48.97,1.8.1986,506,lidska obydli,200,19,9,48,14
Thylogale stigmatica,18.45,51.15,7.3.1970,837,Skalní stepi na vápensových podkladech,215,17,4,18,9
Nucifraga columbiana,12.05,49.05,26.4.1980,1091,biotop b,7,24,4,20,6
Perameles nasuta,17.07,49.01,19.10.1934,598,lidska obydli,200,8,38,46,3
Mirounga leonina,14.65,49.41,22.2.1997,855,doubravy,206,41,30,32,12
Chordeiles minor,15.07,50.39,10.1.2003,1174,nahodny biotop,24,21,14,30,46
Bettongia penicillata,15.81,48.65,26.4.2000,955,nahodny biotop,24,19,28,10,46
Gazella thompsonii,13.31,49.37,26.11.1947,1119,doubravy,206,16,24,48,13
Heloderma horridum,12.87,50.91,25.1.1916,669,Skalní stepi na vápensových podkladech,215,4,0,0,37
Lepus arcticus,15.39,49.19,19.5.1956,960,doubravy,206,40,49,36,27
Acrantophis madagascariensis,17.55,48.83,16.4.1904,896,suťové lesy,327,3,33,13,18
Bubalornis niger,12.33,50.91,10.5.2009,668,doubravy,206,28,7,49,15
Macaca radiata,17.89,49.07,30.9.1910,557,bazina,369,30,0,43,41
Ammospermophilus nelsoni,15.83,50.95,6.1.1966,836,biotop a,326,14,15,42,22
Meleagris gallopavo,17.69,50.31,19.2.1934,969,skály nižších a středních výšek,308,22,31,24,16
Felis silvestris lybica,17.17,51.15,8.1.1979,1028,bazina,369,41,34,26,2
Heloderma horridum,12.21,50.49,6.8.1932,909,xerotermni tentononc,310,37,8,0,46
Platalea leucordia,14.47,51.15,10.6.2008,1109,bazina,369,25,14,17,47
Varanus salvator,12.63,51.19,12.4.1918,1188,nahodny biotop,24,33,33,12,49
Lamprotornis nitens,13.91,48.49,14.1.1940,955,louka,202,49,46,0,32
Cebus apella,13.11,49.95,22.6.2000,822,les,301,27,26,27,0
Ardea golieth,15.35,48.95,12.9.1985,1080,suťové lesy,327,4,15,3,19
Gyps bengalensis,18.07,49.91,2.3.1919,596,les,301,16,29,38,46
Otaria flavescens,12.05,48.83,23.1.1906,1005,biotop a,326,44,26,39,45
Propithecus verreauxi,13.43,48.55,24.12.2007,1049,skály nižších a středních výšek,308,19,1,34,17
Erinaceus frontalis,14.35,49.19,23.5.1904,1098,mocaly,207,43,36,23,22
Psittacula krameri,13.49,50.47,22.12.1941,803,skály nižších a středních výšek,308,13,34,45,16
Alopochen aegyptiacus,16.93,50.15,30.11.1907,508,doubravy,206,7,25,14,26
Macropus giganteus,14.73,50.87,10.9.1962,1034,suťové lesy,327,3,39,48,2
Lamprotornis nitens,17.71,48.43,9.6.1946,592,biotop b,7,22,36,17,29
Himantopus himantopus,18.87,50.61,5.4.1942,1035,Skalní stepi na vápensových podkladech,215,49,31,11,10
Rhea americana,13.33,50.23,17.5.1906,631,nahodny biotop,24,26,11,17,13
Lamprotornis nitens,17.37,49.69,28.12.1978,509,doubravy,206,17,22,22,44
Plocepasser mahali,16.33,50.75,1.5.1951,954,xerotermni tentononc,310,5,4,0,0
Sciurus niger,14.19,49.41,15.3.1944,586,xerotermni tentononc,310,3,4,0,0
Tadorna tadorna,17.45,49.23,4.2.2010,715,louka,202,2,3,0,0
Camelus dromedarius,18.57,50.55,1.1.1959,865,mocaly,207,3,5,0,0
Alligator mississippiensis,14.95,49.43,16.3.1903,878,xerotermni tentononc,310,2,4,0,0
Grus rubicundus,14.43,49.61,28.1.2021,1132,skály nižších a středních výšek,308,3,1,0,0
Snycerus caffer,14.33,50.91,19.3.1902,792,bazina,369,0,5,0,0
Aquila chrysaetos,13.47,49.83,10.11.1939,939,slatiny,217,4,3,0,0
Ateles paniscus,16.91,49.17,7.8.1995,587,xerotermni tentononc,310,0,1,0,0
Spizaetus coronatus,16.57,49.19,8.6.1909,851,suťové lesy,327,4,3,0,0
Coluber constrictor foxii,12.39,50.31,23.2.1935,712,biotop a,326,0,5,0,0
Rhea americana,18.61,50.27,4.10.2016,1191,mocaly,207,2,0,0,0
Equus burchelli,13.81,48.89,24.6.1996,912,les,301,2,2,0,0
Tetracerus quadricornis,15.67,49.27,19.9.1977,656,les,301,4,0,0,0
Leipoa ocellata,13.29,49.85,4.12.1980,1050,nahodny biotop,24,5,4,0,0
Dicrostonyx groenlandicus,13.75,49.97,17.5.1967,622,louka,202,3,3,0,0
Macropus fuliginosus,18.45,50.87,4.7.1905,601,biotop a,326,5,2,0,0
Vanessa indica,16.77,50.15,25.11.1917,573,bazina,369,3,3,0,0
Centrocercus urophasianus,15.27,50.83,5.11.1960,656,xerotermni tentononc,310,3,2,0,0
Myotis lucifugus,13.21,50.73,27.2.1913,600,suťové lesy,327,0,3,0,0
Geococcyx californianus,14.43,49.71,6.11.1909,1191,louka,202,0,1,0,0
Sarkidornis melanotos,12.95,49.67,9.5.2014,1190,nahodny biotop,24,2,3,0,0
Herpestes javanicus,14.55,51.05,24.9.1983,875,les,301,4,5,0,0
Galago crassicaudataus,12.17,50.51,17.12.1922,694,lidska obydli,200,3,2,0,0
Bison bison,14.49,50.69,13.9.1974,510,doubravy,206,0,0,0,0
Castor canadensis,15.75,50.17,3.4.1984,1059,louka,202,2,2,0,0
Tamiasciurus hudsonicus,17.75,49.75,20.9.1986,939,suťové lesy,327,5,2,0,0
Phalacrocorax albiventer,18.61,49.91,19.9.1963,827,biotop a,326,4,4,0,0
Theropithecus gelada,13.73,50.59,1.1.1965,583,lidska obydli,200,2,1,0,0
Tachyglossus aculeatus,14.17,50.05,15.6.2006,733,slatiny,217,3,1,0,0
Oxybelis sp.,13.43,49.69,20.3.1987,947,biotop b,7,5,3,0,0
Centrocercus urophasianus,15.95,50.39,29.3.1984,1107,nahodny biotop,24,2,2,0,0
unavailable,15.55,48.61,3.4.1916,857,doubravy,206,4,3,0,0
Mazama gouazoubira,13.97,48.49,11.12.1939,649,mocaly,207,4,3,0,0
unavailable,14.91,50.79,14.12.2010,567,biotop b,7,4,0,0,0
Pelecanus conspicillatus,15.49,48.61,5.5.1964,680,les,301,1,1,0,0
Diceros bicornis,18.21,50.05,4.8.2000,738,bazina,369,1,3,0,0
Connochaetus taurinus,16.39,49.71,31.7.1941,822,Skalní stepi na vápensových podkladech,215,3,3,0,0
Chauna torquata,12.21,51.09,19.1.1951,528,doubravy,206,0,1,0,0
Halcyon smyrnesis,17.23,50.23,2.3.1989,1172,lidska obydli,200,0,1,0,0
Sciurus niger,18.91,51.01,8.9.2008,786,les,301,4,5,0,0
Nannopterum harrisi,17.73,48.41,29.9.1913,880,Skalní stepi na vápensových podkladech,215,0,4,0,0
Pan troglodytes,14.47,50.85,15.2.1931,1112,suťové lesy,327,5,1,0,0
Melanerpes erythrocephalus,16.59,49.21,26.5.1937,584,biotop a,326,0,2,0,0
Arctogalidia trivirgata,14.93,49.19,26.10.1925,688,les,301,4,4,0,0
Tetracerus quadricornis,13.89,48.81,17.1.1955,989,doubravy,206,5,5,0,0
